Genre,genre 2
Action,Action
Sports,Sports
Shooter,Shooter
Role-Playing,Role-Playing
Platform,Platform
Misc,other
Racing,Racing
Fighting,Fighting
Adventure,Adventure
Simulation,Simulation
Strategy,Strategy
Puzzle,Puzzle
Action-Adventure,Action-Adventure
Music,Music
Party,Party
MMO,MMO
Visual Novel,Visual Novel
Sandbox,Sandbox
Education,Education
Board Game,Board Game
